n_wells,log_variable,lab_variable,wells,avg_r,avg_abs_r,std_r,min_r,max_r,consistent,type,strength,r_1119,r_1804,r_1867,r_697
1,KTH,XRD_Dolomite,1119,0.3426041898717795,0.3426041898717795,0.0,0.3426041898717795,0.3426041898717795,True,Positive,Weak,0.3426041898717795,,,
1,SLTM,XRF_S,1119,-0.34047821580147153,0.34047821580147153,0.0,-0.34047821580147153,-0.34047821580147153,True,Negative,Weak,-0.34047821580147153,,,
1,PE,XRF_P,1119,0.3377399564776186,0.3377399564776186,0.0,0.3377399564776186,0.3377399564776186,True,Positive,Weak,0.3377399564776186,,,
1,K,XRD_Calcite,1119,0.33770040427273534,0.33770040427273534,0.0,0.33770040427273534,0.33770040427273534,True,Positive,Weak,0.33770040427273534,,,
1,SLTM,XRD_Chlorite,697,-0.33649615681821393,0.33649615681821393,0.0,-0.33649615681821393,-0.33649615681821393,True,Negative,Weak,,,,-0.33649615681821393
1,SLTM,XRD_K-Feldspar,697,-0.3364961568182139,0.3364961568182139,0.0,-0.3364961568182139,-0.3364961568182139,True,Negative,Weak,,,,-0.3364961568182139
1,SLTM,XRF_Mg,697,0.31184335693066983,0.31184335693066983,0.0,0.31184335693066983,0.31184335693066983,True,Positive,Weak,,,,0.31184335693066983
1,SHR,XRF_P,1119,-0.3083683885950595,0.3083683885950595,0.0,-0.3083683885950595,-0.3083683885950595,True,Negative,Weak,-0.3083683885950595,,,
1,ZDNC,XRF_Mg,1119,-0.2921312766470322,0.2921312766470322,0.0,-0.2921312766470322,-0.2921312766470322,True,Negative,Weak,-0.2921312766470322,,,
1,SFT2,XRD_Plagioclase,1119,0.2875824081285324,0.2875824081285324,0.0,0.2875824081285324,0.2875824081285324,True,Positive,Weak,0.2875824081285324,,,
1,CN,XRF_Ca,1119,0.28387418438783857,0.28387418438783857,0.0,0.28387418438783857,0.28387418438783857,True,Positive,Weak,0.28387418438783857,,,
1,HRD2,XRF_Mg,1119,0.2825865422417781,0.2825865422417781,0.0,0.2825865422417781,0.2825865422417781,True,Positive,Weak,0.2825865422417781,,,
1,ZDNC,XRD_Dickite,1804,-0.28062806831506876,0.28062806831506876,0.0,-0.28062806831506876,-0.28062806831506876,True,Negative,Weak,,-0.28062806831506876,,
1,LSN,XRF_Zr,697,0.2794827023072222,0.2794827023072222,0.0,0.2794827023072222,0.2794827023072222,True,Positive,Weak,,,,0.2794827023072222
1,LSN,XRD_Chlorite,697,0.27870230250934147,0.27870230250934147,0.0,0.27870230250934147,0.27870230250934147,True,Positive,Weak,,,,0.27870230250934147
1,LSN,XRD_K-Feldspar,697,0.27870230250934136,0.27870230250934136,0.0,0.27870230250934136,0.27870230250934136,True,Positive,Weak,,,,0.27870230250934136
1,CNC,XRF_Ca,1119,0.276642903818201,0.276642903818201,0.0,0.276642903818201,0.276642903818201,True,Positive,Weak,0.276642903818201,,,
1,PE,XRD_Anatase,1804,0.2742062211836052,0.2742062211836052,0.0,0.2742062211836052,0.2742062211836052,True,Positive,Weak,,0.2742062211836052,,
1,SFT2,XRF_Zr,697,-0.26672432616635305,0.26672432616635305,0.0,-0.26672432616635305,-0.26672432616635305,True,Negative,Weak,,,,-0.26672432616635305
1,SHR,XRD_Anatase,1804,-0.26434765740414046,0.26434765740414046,0.0,-0.26434765740414046,-0.26434765740414046,True,Negative,Weak,,-0.26434765740414046,,
1,HRD2,XRD_Anatase,1804,0.25478235601700927,0.25478235601700927,0.0,0.25478235601700927,0.25478235601700927,True,Positive,Weak,,0.25478235601700927,,
1,SLTM,XRF_K,1119,0.25420602191086533,0.25420602191086533,0.0,0.25420602191086533,0.25420602191086533,True,Positive,Weak,0.25420602191086533,,,
1,HRD1,XRD_Anatase,1804,0.25208303463759785,0.25208303463759785,0.0,0.25208303463759785,0.25208303463759785,True,Positive,Weak,,0.25208303463759785,,
1,SFT2,XRD_Anatase,1804,0.2503604116942467,0.2503604116942467,0.0,0.2503604116942467,0.2503604116942467,True,Positive,Weak,,0.2503604116942467,,
1,K,XRD_Chlorite,697,-0.24995933098926224,0.24995933098926224,0.0,-0.24995933098926224,-0.24995933098926224,True,Negative,Weak,,,,-0.24995933098926224
1,K,XRD_K-Feldspar,697,-0.2499593309892622,0.2499593309892622,0.0,-0.2499593309892622,-0.2499593309892622,True,Negative,Weak,,,,-0.2499593309892622
1,LSN,XRD_Calcite,1119,-0.24776526310982458,0.24776526310982458,0.0,-0.24776526310982458,-0.24776526310982458,True,Negative,Weak,-0.24776526310982458,,,
1,GRSL,XRF_Ti,697,0.24222679731296293,0.24222679731296293,0.0,0.24222679731296293,0.24222679731296293,True,Positive,Weak,,,,0.24222679731296293
1,KTH,XRD_Chlorite,697,-0.2375507138719145,0.2375507138719145,0.0,-0.2375507138719145,-0.2375507138719145,True,Negative,Weak,,,,-0.2375507138719145
1,KTH,XRD_K-Feldspar,697,-0.23755071387191448,0.23755071387191448,0.0,-0.23755071387191448,-0.23755071387191448,True,Negative,Weak,,,,-0.23755071387191448
1,HRD2,XRD_Chlorite,697,-0.23689159520404926,0.23689159520404926,0.0,-0.23689159520404926,-0.23689159520404926,True,Negative,Weak,,,,-0.23689159520404926
1,HRD2,XRD_K-Feldspar,697,-0.23689159520404923,0.23689159520404923,0.0,-0.23689159520404923,-0.23689159520404923,True,Negative,Weak,,,,-0.23689159520404923
1,PE,XRD_Chlorite,697,-0.23233496823313105,0.23233496823313105,0.0,-0.23233496823313105,-0.23233496823313105,True,Negative,Weak,,,,-0.23233496823313105
1,PE,XRD_K-Feldspar,697,-0.23233496823313105,0.23233496823313105,0.0,-0.23233496823313105,-0.23233496823313105,True,Negative,Weak,,,,-0.23233496823313105
1,SHR,XRD_K-Feldspar,697,0.22821856133449744,0.22821856133449744,0.0,0.22821856133449744,0.22821856133449744,True,Positive,Weak,,,,0.22821856133449744
1,SHR,XRD_Chlorite,697,0.22821856133449742,0.22821856133449742,0.0,0.22821856133449742,0.22821856133449742,True,Positive,Weak,,,,0.22821856133449742
1,HRD2,XRF_Ti,697,-0.2075409353467534,0.2075409353467534,0.0,-0.2075409353467534,-0.2075409353467534,True,Negative,Weak,,,,-0.2075409353467534
1,SFT2,XRD_Chlorite,697,0.20702887114837815,0.20702887114837815,0.0,0.20702887114837815,0.20702887114837815,True,Positive,Weak,,,,0.20702887114837815
1,SFT2,XRD_K-Feldspar,697,0.2070288711483781,0.2070288711483781,0.0,0.2070288711483781,0.2070288711483781,True,Positive,Weak,,,,0.2070288711483781
1,SLTM,XRD_Dolomite,1119,0.20412599299286385,0.20412599299286385,0.0,0.20412599299286385,0.20412599299286385,True,Positive,Weak,0.20412599299286385,,,
1,LSN,XRF_P,1119,-0.20053045331065175,0.20053045331065175,0.0,-0.20053045331065175,-0.20053045331065175,True,Negative,Weak,-0.20053045331065175,,,
2,SHR,XRF_Sr,"1119, 697",0.6906720792097008,0.6906720792097008,0.1389755161730652,0.5516965630366356,0.829647595382766,True,Positive,Moderate,0.5516965630366356,,,0.829647595382766
2,PE,XRF_Sr,"1119, 697",-0.6891480672668167,0.6891480672668167,0.12894065471139676,-0.8180887219782134,-0.5602074125554198,True,Negative,Moderate,-0.5602074125554198,,,-0.8180887219782134
2,LSN,XRF_Cl,"1119, 697",-0.6634080501909835,0.6634080501909835,0.10831298543327628,-0.7717210356242598,-0.5550950647577072,True,Negative,Moderate,-0.5550950647577072,,,-0.7717210356242598
2,SHR,XRF_Fe,"1119, 697",0.16835721806603515,0.6629173567879323,0.6629173567879323,-0.4945601387218971,0.8312745748539674,False,Positive,Moderate,-0.4945601387218971,,,0.8312745748539674
2,PE,XRF_Fe,"1119, 697",-0.14490831172430785,0.6521533188591554,0.6521533188591554,-0.7970616305834632,0.5072450071348475,False,Negative,Moderate,0.5072450071348475,,,-0.7970616305834632
2,CNC,XRF_Cl,"1119, 697",0.6348913395890075,0.6348913395890075,0.15507384871237956,0.47981749087662795,0.7899651883013871,True,Positive,Moderate,0.47981749087662795,,,0.7899651883013871
2,CN,XRF_Cl,"1119, 697",0.6307796270821278,0.6307796270821278,0.15917593241534872,0.4716036946667791,0.7899555594974765,True,Positive,Moderate,0.4716036946667791,,,0.7899555594974765
2,GR,XRF_Na,"1119, 697",0.6286744682145179,0.6286744682145179,0.14075058696563547,0.4879238812488824,0.7694250551801534,True,Positive,Moderate,0.4879238812488824,,,0.7694250551801534
2,SFT2,XRF_Si,"1119, 697",0.010323336164281105,0.623770015052884,0.623770015052884,-0.6134466788886029,0.6340933512171651,False,Positive,Moderate,0.6340933512171651,,,-0.6134466788886029
2,KTH,XRF_Na,"1119, 697",0.6080091858152943,0.6080091858152943,0.056670404615750125,0.5513387811995442,0.6646795904310444,True,Positive,Moderate,0.5513387811995442,,,0.6646795904310444
2,PE,XRF_Si,"1119, 697",0.6062838338645509,0.6062838338645509,0.17715404491097647,0.42912978895357445,0.7834378787755274,True,Positive,Moderate,0.42912978895357445,,,0.7834378787755274
2,K,XRF_Na,"1119, 697",0.5988388668649312,0.5988388668649312,0.16906706306663832,0.42977180379829283,0.7679059299315695,True,Positive,Moderate,0.42977180379829283,,,0.7679059299315695
2,LSN,XRD_Illite/Mica,"1804, 697",-0.5863953372054229,0.5863953372054229,0.1848386168085135,-0.7712339540139365,-0.4015567203969095,True,Negative,Moderate,,-0.4015567203969095,,-0.7712339540139365
2,SHR,XRF_Si,"1119, 697",-0.5843213484693113,0.5843213484693113,0.20782088704521343,-0.7921422355145247,-0.3765004614240978,True,Negative,Moderate,-0.3765004614240978,,,-0.7921422355145247
2,SFT2,XRF_K,"1119, 697",0.5839934904005653,0.5839934904005653,0.02425158441431352,0.5597419059862517,0.6082450748148788,True,Positive,Moderate,0.5597419059862517,,,0.6082450748148788
2,SFT2,XRF_Al,"1119, 697",0.5822916674984828,0.5822916674984828,0.022922602141341064,0.5593690653571418,0.6052142696398239,True,Positive,Moderate,0.6052142696398239,,,0.5593690653571418
2,SLTM,XRF_Na,"1119, 697",0.5767370173402733,0.5767370173402733,0.0796926186728111,0.49704439866746214,0.6564296360130843,True,Positive,Moderate,0.49704439866746214,,,0.6564296360130843
2,HRD1,XRF_Al,"1119, 697",0.5740319400140466,0.5740319400140466,0.059720877433531216,0.5143110625805154,0.6337528174475778,True,Positive,Moderate,0.5143110625805154,,,0.6337528174475778
2,HRD1,XRF_K,"1119, 697",0.5682896388952734,0.5682896388952734,0.10873970425492602,0.45954993464034743,0.6770293431501995,True,Positive,Moderate,0.45954993464034743,,,0.6770293431501995
2,SFT2,XRF_Fe,"1119, 697",0.5680068666921604,0.5680068666921604,0.011495546304341575,0.5565113203878188,0.579502412996502,True,Positive,Moderate,0.579502412996502,,,0.5565113203878188
2,GRSL,XRF_S,"1119, 697",-0.5652051575621186,0.5652051575621186,0.17819655276599136,-0.74340171032811,-0.38700860479612725,True,Negative,Moderate,-0.74340171032811,,,-0.38700860479612725
2,K,XRF_Cl,"1119, 697",0.563706371566012,0.563706371566012,0.14234760194241391,0.4213587696235981,0.7060539735084259,True,Positive,Moderate,0.4213587696235981,,,0.7060539735084259
2,HRD2,XRF_S,"1119, 697",-0.5613729391819127,0.5613729391819127,0.2782384149164325,-0.8396113540983451,-0.28313452426548014,True,Negative,Moderate,-0.8396113540983451,,,-0.28313452426548014
2,HRD1,XRF_Si,"1119, 697",-0.02432042282442881,0.5509100231340728,0.5509100231340728,-0.5752304459585016,0.526589600309644,False,Negative,Moderate,0.526589600309644,,,-0.5752304459585016
2,GR,XRF_S,"1119, 697",-0.549461577386084,0.549461577386084,0.1947225990230264,-0.7441841764091105,-0.3547389783630577,True,Negative,Moderate,-0.7441841764091105,,,-0.3547389783630577
2,K,XRD_Quartz,"1119, 697",-0.0688280939337314,0.547904710432932,0.547904710432932,-0.6167328043666634,0.47907661649920064,False,Negative,Moderate,0.47907661649920064,,,-0.6167328043666634
2,ZDNC,XRF_S,"1119, 697",0.5467000629163464,0.5467000629163464,0.300468070491046,0.2462319924253004,0.8471681334073924,True,Positive,Moderate,0.8471681334073924,,,0.2462319924253004
2,CN,XRD_Illite/Mica,"1804, 697",0.5461986188048265,0.5461986188048265,0.13515965052240336,0.41103896828242314,0.6813582693272299,True,Positive,Moderate,,0.41103896828242314,,0.6813582693272299
2,SHR,XRF_S,"1119, 697",0.5433115301861804,0.5433115301861804,0.31763958589947855,0.2256719442867019,0.860951116085659,True,Positive,Moderate,0.860951116085659,,,0.2256719442867019
2,SFT2,XRF_Sr,"1119, 697",0.0003206647504320759,0.5426654054241771,0.5426654054241771,-0.5423447406737449,0.5429860701746091,False,Positive,Moderate,-0.5423447406737449,,,0.5429860701746091
2,SHR,XRF_Ca,"1119, 697",-0.11238074927607875,0.5425071644285674,0.5425071644285674,-0.6548879137046462,0.4301264151524887,False,Negative,Moderate,-0.6548879137046462,,,0.4301264151524887
2,CNC,XRD_Illite/Mica,"1804, 697",0.5417785462804973,0.5417785462804973,0.13957803794778142,0.40220050833271587,0.6813565842282787,True,Positive,Moderate,,0.40220050833271587,,0.6813565842282787
2,PE,XRF_Ca,"1119, 697",0.08935242350537842,0.5394952784095558,0.5394952784095558,-0.4501428549041774,0.6288477019149342,False,Positive,Moderate,0.6288477019149342,,,-0.4501428549041774
2,PE,XRF_K,"1119, 697",-0.14609272445634855,0.5375162182472506,0.5375162182472506,-0.6836089427035992,0.3914234937909021,False,Negative,Moderate,0.3914234937909021,,,-0.6836089427035992
2,LSN,XRF_Al,"1119, 697",-0.5351689009130947,0.5351689009130947,0.16442949103407312,-0.6995983919471678,-0.37073940987902154,True,Negative,Moderate,-0.37073940987902154,,,-0.6995983919471678
2,LSN,XRF_Si,"1119, 697",0.15216290423988854,0.5324991155208129,0.5324991155208129,-0.3803362112809243,0.6846620197607014,False,Positive,Moderate,-0.3803362112809243,,,0.6846620197607014
2,ZDNC,XRF_Sr,"1119, 697",0.5309644277175629,0.5309644277175629,0.0655548354399256,0.4654095922776373,0.5965192631574885,True,Positive,Moderate,0.5965192631574885,,,0.4654095922776373
2,CNC,XRF_Mg,"1119, 697",0.5264342396784568,0.5264342396784568,0.05215947524178588,0.47427476443667094,0.5785937149202427,True,Positive,Moderate,0.5785937149202427,,,0.47427476443667094
2,CN,XRF_Mg,"1119, 697",0.5228135894716914,0.5228135894716914,0.04853644876671126,0.47427714070498017,0.5713500382384027,True,Positive,Moderate,0.5713500382384027,,,0.47427714070498017
2,PE,XRF_S,"1119, 697",-0.5223096056950305,0.5223096056950305,0.3005156421690148,-0.8228252478640453,-0.2217939635260157,True,Negative,Moderate,-0.8228252478640453,,,-0.2217939635260157
2,GRSL,XRF_Ca,"1119, 697",0.2286347256272122,0.5220249068469373,0.5220249068469373,-0.29339018121972504,0.7506596324741495,False,Positive,Moderate,0.7506596324741495,,,-0.29339018121972504
2,SHR,XRF_K,"1119, 697",0.17110017796712448,0.5134524064415089,0.5134524064415089,-0.34235222847438446,0.6845525844086334,False,Positive,Moderate,-0.34235222847438446,,,0.6845525844086334
2,ZDNC,XRF_Fe,"1119, 697",-0.05242823215426198,0.500044936833991,0.500044936833991,-0.5524731689882529,0.44761670467972897,False,Negative,Moderate,-0.5524731689882529,,,0.44761670467972897
2,PE,XRF_Al,"1119, 697",-0.05979108103335609,0.49887529575203693,0.49887529575203693,-0.558666376785393,0.4390842147186808,False,Negative,Weak,0.4390842147186808,,,-0.558666376785393
2,LSN,XRF_K,"1119, 697",-0.4958177266871585,0.4958177266871585,0.1493703311079232,-0.6451880577950817,-0.3464473955792353,True,Negative,Weak,-0.3464473955792353,,,-0.6451880577950817
2,LSN,XRF_Fe,"1119, 697",-0.4916021716698983,0.4916021716698983,0.05505468936834754,-0.5466568610382458,-0.43654748230155077,True,Negative,Weak,-0.43654748230155077,,,-0.5466568610382458
2,GRSL,XRF_Na,"1119, 697",0.48889622012908435,0.48889622012908435,0.0011744091320913808,0.48772181099699297,0.4900706292611757,True,Positive,Weak,0.48772181099699297,,,0.4900706292611757
2,GR,XRF_Cl,"1119, 697",0.487139616941514,0.487139616941514,0.25127781116784464,0.23586180577366933,0.7384174281093586,True,Positive,Weak,0.23586180577366933,,,0.7384174281093586
2,KTH,XRD_Quartz,"1119, 697",0.06589674210494548,0.48334984534800485,0.48334984534800485,-0.41745310324305934,0.5492465874529503,False,Positive,Weak,0.5492465874529503,,,-0.41745310324305934
2,ZDNC,XRF_Na,"1119, 697",-0.48022974817765984,0.48022974817765984,0.07866172425357157,-0.5588914724312314,-0.40156802392408825,True,Negative,Weak,-0.5588914724312314,,,-0.40156802392408825
2,HRD1,XRF_Fe,"1119, 697",0.4798414909674421,0.4798414909674421,0.07536326496735671,0.4044782260000854,0.5552047559347988,True,Positive,Weak,0.5552047559347988,,,0.4044782260000854
2,SHR,XRF_Al,"1119, 697",0.07667131352289128,0.47859048061868714,0.47859048061868714,-0.40191916709579584,0.5552617941415784,False,Positive,Weak,-0.40191916709579584,,,0.5552617941415784
2,HRD2,XRF_Ca,"1119, 697",0.23448996129274513,0.4784344439300945,0.4784344439300945,-0.24394448263734936,0.7129244052228396,False,Positive,Weak,0.7129244052228396,,,-0.24394448263734936
2,SHR,XRF_Mg,"1119, 697",-0.0014044910616095863,0.4763043799833335,0.4763043799833335,-0.47770887104494314,0.47489988892172397,False,Negative,Weak,-0.47770887104494314,,,0.47489988892172397
2,GR,XRD_Quartz,"1119, 697",-0.07950288952232715,0.47340499945483944,0.47340499945483944,-0.5529078889771666,0.3939021099325123,False,Negative,Weak,0.3939021099325123,,,-0.5529078889771666
2,LSN,XRF_Mg,"1119, 697",-0.46858187102817983,0.46858187102817983,0.09438200117715634,-0.5629638722053362,-0.3741998698510235,True,Negative,Weak,-0.5629638722053362,,,-0.3741998698510235
2,HRD1,XRF_Sr,"1119, 697",-0.10154313155652592,0.4665718962376556,0.4665718962376556,-0.5681150277941815,0.3650287646811297,False,Negative,Weak,-0.5681150277941815,,,0.3650287646811297
2,LSN,XRF_Na,"1119, 697",-0.44950185514686963,0.44950185514686963,0.12239152892887056,-0.5718933840757402,-0.32711032621799907,True,Negative,Weak,-0.32711032621799907,,,-0.5718933840757402
