log_var,lab_var,num_wells,wells_found_in,r_values,avg_r,avg_abs_r,std_r,consistent_direction
Log_SHR,Lab_XRD_Quartz,3,"['HRDH_1119', 'HRDH_1804', 'HRDH_697']","{'HRDH_1119': np.float64(-0.37009099091371467), 'HRDH_1804': np.float64(0.4689672133343539), 'HRDH_697': np.float64(-0.27015311504929834)}",-0.057092298,0.369737106,0.374211038,FALSE
Log_HRD1,Lab_XRD_Illite/Mica,3,"['HRDH_1804', 'HRDH_1867', 'HRDH_697']","{'HRDH_1804': np.float64(0.32442765527747214), 'HRDH_1867': np.float64(-0.2589875422906875), 'HRDH_697': np.float64(0.4173858512216827)}",0.160941988,0.33360035,0.299350313,FALSE
Log_HRD2,Lab_XRD_Illite/Mica,3,"['HRDH_1804', 'HRDH_1867', 'HRDH_697']","{'HRDH_1804': np.float64(0.3185218305142181), 'HRDH_1867': np.float64(-0.32700654134741686), 'HRDH_697': np.float64(0.35407652676959134)}",0.115197272,0.333201633,0.313022037,FALSE
Log_SSD,Lab_XRD_Illite/Mica,3,"['HRDH_1804', 'HRDH_1867', 'HRDH_697']","{'HRDH_1804': np.float64(0.3093789169891038), 'HRDH_1867': np.float64(-0.1859771898203492), 'HRDH_697': np.float64(0.4501107615482003)}",0.19117083,0.315155623,0.272802535,FALSE
Log_ZCOR,Lab_XRD_Illite/Mica,3,"['HRDH_1804', 'HRDH_1867', 'HRDH_697']","{'HRDH_1804': np.float64(0.3070771732172549), 'HRDH_1867': np.float64(0.34006252898849804), 'HRDH_697': np.float64(0.17920365695630244)}",0.275447786,0.275447786,0.069374384,TRUE
Log_SFT2,Lab_XRD_Illite/Mica,3,"['HRDH_1804', 'HRDH_1867', 'HRDH_697']","{'HRDH_1804': np.float64(0.3210851888783796), 'HRDH_1867': np.float64(-0.1759174518862661), 'HRDH_697': np.float64(0.3162696416825727)}",0.15381246,0.271090761,0.233162545,FALSE
Log_SHR,Lab_XRD_Illite/Mica,3,"['HRDH_1804', 'HRDH_1867', 'HRDH_697']","{'HRDH_1804': np.float64(-0.35052163147300913), 'HRDH_1867': np.float64(0.23727672432728386), 'HRDH_697': np.float64(0.21503693535085866)}",0.033930676,0.267611764,0.27200041,FALSE
Log_PE,Lab_XRD_Illite/Mica,3,"['HRDH_1804', 'HRDH_1867', 'HRDH_697']","{'HRDH_1804': np.float64(0.3806994208564556), 'HRDH_1867': np.float64(-0.20755248698708684), 'HRDH_697': np.float64(-0.1951670245330988)}",-0.00734003,0.261139644,0.274431912,FALSE
Log_WTBH,Lab_XRD_Quartz,3,"['HRDH_1119', 'HRDH_1804', 'HRDH_1867']","{'HRDH_1119': np.float64(0.17934698412398412), 'HRDH_1804': np.float64(0.32526583311756535), 'HRDH_1867': np.float64(-0.12178834671916484)}",0.127608157,0.208800388,0.186139803,FALSE
Log_CN,Lab_XRD_Dickite,2,"['HRDH_1804', 'HRDH_1867']","{'HRDH_1804': np.float64(0.5595755310776418), 'HRDH_1867': np.float64(0.8928147820183858)}",0.726195157,0.726195157,0.166619625,TRUE
Log_CNC,Lab_XRD_Dickite,2,"['HRDH_1804', 'HRDH_1867']","{'HRDH_1804': np.float64(0.5555597458166589), 'HRDH_1867': np.float64(0.8821968555854093)}",0.718878301,0.718878301,0.163318555,TRUE
Log_SHR,Lab_XRF_Sr,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(0.5516965630366356), 'HRDH_697': np.float64(0.829647595382766)}",0.690672079,0.690672079,0.138975516,TRUE
Log_PE,Lab_XRF_Sr,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(-0.5602074125554198), 'HRDH_697': np.float64(-0.8180887219782134)}",-0.689148067,0.689148067,0.128940655,TRUE
Log_SLGN,Lab_XRF_Na,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(0.7709030146054829), 'HRDH_697': np.float64(-0.5808929005646031)}",0.095005057,0.675897958,0.675897958,FALSE
Log_LSN,Lab_XRF_Cl,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(-0.5550950647577071), 'HRDH_697': np.float64(-0.7717210356242599)}",-0.66340805,0.66340805,0.108312985,TRUE
Log_SHR,Lab_XRF_Fe,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(-0.4945601387218972), 'HRDH_697': np.float64(0.8312745748539674)}",0.168357218,0.662917357,0.662917357,FALSE
Log_PE,Lab_XRF_Fe,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(0.5072450071348475), 'HRDH_697': np.float64(-0.7970616305834632)}",-0.144908312,0.652153319,0.652153319,FALSE
Log_SLGN,Lab_XRF_Fe,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(0.6623217600908808), 'HRDH_697': np.float64(-0.6136233972496147)}",0.024349181,0.637972579,0.637972579,FALSE
Log_SSN,Lab_XRD_Dickite,2,"['HRDH_1804', 'HRDH_1867']","{'HRDH_1804': np.float64(-0.5481777476442977), 'HRDH_1867': np.float64(-0.7223914890806046)}",-0.635284618,0.635284618,0.087106871,TRUE
Log_CNC,Lab_XRF_Cl,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(0.47981749087662795), 'HRDH_697': np.float64(0.789965188301387)}",0.63489134,0.63489134,0.155073849,TRUE
Log_CN,Lab_XRF_Cl,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(0.471603694666779), 'HRDH_697': np.float64(0.7899555594974765)}",0.630779627,0.630779627,0.159175932,TRUE
Log_GR,Lab_XRF_Na,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(0.4879238812488824), 'HRDH_697': np.float64(0.7694250551801534)}",0.628674468,0.628674468,0.140750587,TRUE
Log_SFT2,Lab_XRF_Si,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(0.6340933512171651), 'HRDH_697': np.float64(-0.6134466788886028)}",0.010323336,0.623770015,0.623770015,FALSE
Log_ZCOR,Lab_XRF_Fe,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(0.5210092727508504), 'HRDH_697': np.float64(0.7235275640546261)}",0.622268418,0.622268418,0.101259146,TRUE
Log_SSD,Lab_XRF_Si,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(0.5370078523902075), 'HRDH_697': np.float64(-0.7052148347097467)}",-0.084103491,0.621111344,0.621111344,FALSE
Log_SSD,Lab_XRF_Fe,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(0.5826521905191554), 'HRDH_697': np.float64(0.6588404817504485)}",0.620746336,0.620746336,0.038094146,TRUE
Log_SSD,Lab_XRF_K,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(0.4771300306591319), 'HRDH_697': np.float64(0.7553496470819825)}",0.616239839,0.616239839,0.139109808,TRUE
Log_LSN,Lab_XRD_Dickite,2,"['HRDH_1804', 'HRDH_1867']","{'HRDH_1804': np.float64(-0.5216931737990014), 'HRDH_1867': np.float64(-0.7000114600443246)}",-0.610852317,0.610852317,0.089159143,TRUE
Log_KTH,Lab_XRF_Na,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(0.551338781199544), 'HRDH_697': np.float64(0.6646795904310444)}",0.608009186,0.608009186,0.056670405,TRUE
Log_PE,Lab_XRF_Si,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(0.42912978895357445), 'HRDH_697': np.float64(0.7834378787755274)}",0.606283834,0.606283834,0.177154045,TRUE
Log_SLGN,Lab_XRF_Si,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(0.6293997314318829), 'HRDH_697': np.float64(0.5818953557833366)}",0.605647544,0.605647544,0.023752188,TRUE
Log_K,Lab_XRF_Na,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(0.4297718037982927), 'HRDH_697': np.float64(0.7679059299315696)}",0.598838867,0.598838867,0.169067063,TRUE
Log_SSD,Lab_XRF_Al,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(0.5337645374466211), 'HRDH_697': np.float64(0.6614278107365714)}",0.597596174,0.597596174,0.063831637,TRUE
Log_SSN,Lab_XRD_K-Feldspar,2,"['HRDH_1867', 'HRDH_697']","{'HRDH_1867': np.float64(-0.6485907040308457), 'HRDH_697': np.float64(0.5397056675975175)}",-0.054442518,0.594148186,0.594148186,FALSE
Log_CAL,Lab_XRD_Illite/Mica,2,"['HRDH_1804', 'HRDH_1867']","{'HRDH_1804': np.float64(0.3779195936814943), 'HRDH_1867': np.float64(-0.7994409886864713)}",-0.210760698,0.588680291,0.588680291,FALSE
Log_SSN,Lab_XRF_Cl,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(-0.46566518677775326), 'HRDH_697': np.float64(-0.7072453879065905)}",-0.586455287,0.586455287,0.120790101,TRUE
Log_CALX,Lab_XRD_Illite/Mica,2,"['HRDH_1804', 'HRDH_1867']","{'HRDH_1804': np.float64(0.37254635717904594), 'HRDH_1867': np.float64(-0.7994409886864713)}",-0.213447316,0.585993673,0.585993673,FALSE
Log_SLGN,Lab_XRD_Quartz,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(0.5749490954357396), 'HRDH_697': np.float64(0.5960694137467764)}",0.585509255,0.585509255,0.010560159,TRUE
Log_SHR,Lab_XRF_Si,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(-0.3765004614240979), 'HRDH_697': np.float64(-0.7921422355145247)}",-0.584321348,0.584321348,0.207820887,TRUE
Log_SFT2,Lab_XRF_K,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(0.5597419059862517), 'HRDH_697': np.float64(0.6082450748148787)}",0.58399349,0.58399349,0.024251584,TRUE
Log_SFT2,Lab_XRF_Al,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(0.6052142696398239), 'HRDH_697': np.float64(0.5593690653571417)}",0.582291667,0.582291667,0.022922602,TRUE
Log_SLGN,Lab_XRF_Al,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(0.6290273265690299), 'HRDH_697': np.float64(-0.5296941830213311)}",0.049666572,0.579360755,0.579360755,FALSE
Log_SSD,Lab_XRD_Dickite,2,"['HRDH_1804', 'HRDH_1867']","{'HRDH_1804': np.float64(0.4745692139471996), 'HRDH_1867': np.float64(-0.681165260054674)}",-0.103298023,0.577867237,0.577867237,FALSE
Log_SLTM,Lab_XRF_Na,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(0.49704439866746214), 'HRDH_697': np.float64(0.6564296360130845)}",0.576737017,0.576737017,0.079692619,TRUE
Log_SLGN,Lab_XRF_Sr,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(-0.675954167605568), 'HRDH_697': np.float64(-0.47500966190721533)}",-0.575481915,0.575481915,0.100472253,TRUE
Log_HRD1,Lab_XRF_Al,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(0.5143110625805154), 'HRDH_697': np.float64(0.6337528174475778)}",0.57403194,0.57403194,0.059720877,TRUE
Log_GR,Lab_XRD_Chlorite,2,"['HRDH_1867', 'HRDH_697']","{'HRDH_1867': np.float64(0.7316138206518182), 'HRDH_697': np.float64(-0.41005096084131243)}",0.16078143,0.570832391,0.570832391,FALSE
Log_HRD1,Lab_XRF_K,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(0.45954993464034755), 'HRDH_697': np.float64(0.6770293431501995)}",0.568289639,0.568289639,0.108739704,TRUE
Log_SFT2,Lab_XRF_Fe,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(0.579502412996502), 'HRDH_697': np.float64(0.5565113203878189)}",0.568006867,0.568006867,0.011495546,TRUE
Log_GRSL,Lab_XRF_S,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(-0.7434017103281101), 'HRDH_697': np.float64(-0.38700860479612725)}",-0.565205158,0.565205158,0.178196553,TRUE
Log_K,Lab_XRF_Cl,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(0.42135876962359803), 'HRDH_697': np.float64(0.7060539735084259)}",0.563706372,0.563706372,0.142347602,TRUE
Log_HRD2,Lab_XRF_S,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(-0.8396113540983451), 'HRDH_697': np.float64(-0.28313452426548014)}",-0.561372939,0.561372939,0.278238415,TRUE
Log_SSD,Lab_XRF_Sr,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(-0.5610328511613193), 'HRDH_697': np.float64(0.5599474114720229)}",-0.00054272,0.560490131,0.560490131,FALSE
Log_SSN,Lab_XRD_Chlorite,2,"['HRDH_1867', 'HRDH_697']","{'HRDH_1867': np.float64(-0.5672273684192611), 'HRDH_697': np.float64(0.5397056675975176)}",-0.01376085,0.553466518,0.553466518,FALSE
Log_SLGN,Lab_XRF_Cl,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(0.3194513927699268), 'HRDH_697': np.float64(-0.78715636209398)}",-0.233852485,0.553303877,0.553303877,FALSE
Log_HRD1,Lab_XRF_Si,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(0.526589600309644), 'HRDH_697': np.float64(-0.5752304459585016)}",-0.024320423,0.550910023,0.550910023,FALSE
Log_GR,Lab_XRF_S,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(-0.7441841764091105), 'HRDH_697': np.float64(-0.35473897836305773)}",-0.549461577,0.549461577,0.194722599,TRUE
Log_K,Lab_XRD_Quartz,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(0.4790766164992006), 'HRDH_697': np.float64(-0.6167328043666634)}",-0.068828094,0.54790471,0.54790471,FALSE
Log_ZDNC,Lab_XRF_S,2,"['HRDH_1119', 'HRDH_697']","{'HRDH_1119': np.float64(0.8471681334073924), 'HRDH_697': np.float64(0.24623199242530042)}",0.546700063,0.546700063,0.30046807,TRUE
