log_var,lab_var,num_wells,wells_found_in,r_values,avg_r,avg_abs_r,std_r,consistent_direction,HRDH_1119_r,HRDH_1867_r,HRDH_1804_r,HRDH_697_r
Log_CN,Lab_XRD_Illite/Mica,3,"['HRDH_1804', 'HRDH_1867', 'HRDH_697']","{'HRDH_1804': 0.41103896828242314, 'HRDH_1867': 0.3337576509935434, 'HRDH_697': 0.6813582693272299}",0.4753849628677321,0.4753849628677321,0.14902315867199917,True,,0.3337576509935434,0.41103896828242314,0.6813582693272299
Log_GR,Lab_XRD_Illite/Mica,3,"['HRDH_1804', 'HRDH_1867', 'HRDH_697']","{'HRDH_1804': 0.13605485782235774, 'HRDH_1867': 0.5361659860521187, 'HRDH_697': 0.6009179799365522}",0.4243796079370095,0.4243796079370095,0.20558303484563073,True,,0.5361659860521187,0.13605485782235774,0.6009179799365522
Log_PE,Lab_XRD_Quartz,3,"['HRDH_1119', 'HRDH_1804', 'HRDH_697']","{'HRDH_1119': 0.4426068897765023, 'HRDH_1804': -0.5223803972391443, 'HRDH_697': 0.250050092107135}",0.05675886154816434,0.4050124597075939,0.4169902004313813,False,0.4426068897765023,,-0.5223803972391443,0.250050092107135
Log_ZDNC,Lab_XRD_Illite/Mica,3,"['HRDH_1804', 'HRDH_1867', 'HRDH_697']","{'HRDH_1804': -0.29328424829795186, 'HRDH_1867': 0.5710188052343919, 'HRDH_697': -0.2558768899863826}",0.007285888983352473,0.3733933145062421,0.39891179330994847,False,,0.5710188052343919,-0.29328424829795186,-0.2558768899863826
Log_ZDEN,Lab_XRD_Illite/Mica,3,"['HRDH_1804', 'HRDH_1867', 'HRDH_697']","{'HRDH_1804': -0.2923243688270216, 'HRDH_1867': 0.5710244614375526, 'HRDH_697': -0.2558914775412184}",0.007602871689770863,0.37308010260193086,0.39867677362101994,False,,0.5710244614375526,-0.2923243688270216,-0.2558914775412184
Log_SHR,Lab_XRD_Quartz,3,"['HRDH_1119', 'HRDH_1804', 'HRDH_697']","{'HRDH_1119': -0.37009099091371467, 'HRDH_1804': 0.4689672133343538, 'HRDH_697': -0.27015311504929823}",-0.05709229754288636,0.36973710643245555,0.37421103804882944,False,-0.37009099091371467,,0.4689672133343538,-0.27015311504929823
Log_HRD1,Lab_XRD_Illite/Mica,3,"['HRDH_1804', 'HRDH_1867', 'HRDH_697']","{'HRDH_1804': 0.3244276552774722, 'HRDH_1867': -0.25898754229068754, 'HRDH_697': 0.4173858512216827}",0.16094198806948912,0.33360034959661417,0.2993503125099304,False,,-0.25898754229068754,0.3244276552774722,0.4173858512216827
Log_HRD2,Lab_XRD_Illite/Mica,3,"['HRDH_1804', 'HRDH_1867', 'HRDH_697']","{'HRDH_1804': 0.3185218305142181, 'HRDH_1867': -0.3270065413474169, 'HRDH_697': 0.3540765267695914}",0.11519727197879753,0.3332016328770755,0.3130220370268278,False,,-0.3270065413474169,0.3185218305142181,0.3540765267695914
Log_SSD,Lab_XRD_Illite/Mica,3,"['HRDH_1804', 'HRDH_1867', 'HRDH_697']","{'HRDH_1804': 0.3093789169891038, 'HRDH_1867': -0.1859771898203492, 'HRDH_697': 0.4501107615482002}",0.19117082957231826,0.3151556227858844,0.27280253471098875,False,,-0.1859771898203492,0.3093789169891038,0.4501107615482002
Log_ZCOR,Lab_XRD_Illite/Mica,3,"['HRDH_1804', 'HRDH_1867', 'HRDH_697']","{'HRDH_1804': 0.30707717321725486, 'HRDH_1867': 0.3400625289884981, 'HRDH_697': 0.17920365695630247}",0.27544778638735185,0.27544778638735185,0.0693743841356174,True,,0.3400625289884981,0.30707717321725486,0.17920365695630247
Log_SFT2,Lab_XRD_Illite/Mica,3,"['HRDH_1804', 'HRDH_1867', 'HRDH_697']","{'HRDH_1804': 0.32108518887837967, 'HRDH_1867': -0.17591745188626615, 'HRDH_697': 0.3162696416825727}",0.15381245955822875,0.2710907608157395,0.23316254451861776,False,,-0.17591745188626615,0.32108518887837967,0.3162696416825727
Log_SHR,Lab_XRD_Illite/Mica,3,"['HRDH_1804', 'HRDH_1867', 'HRDH_697']","{'HRDH_1804': -0.35052163147300913, 'HRDH_1867': 0.2372767243272839, 'HRDH_697': 0.2150369353508587}",0.03393067606837782,0.2676117637170506,0.2720004100901956,False,,0.2372767243272839,-0.35052163147300913,0.2150369353508587
Log_PE,Lab_XRD_Illite/Mica,3,"['HRDH_1804', 'HRDH_1867', 'HRDH_697']","{'HRDH_1804': 0.38069942085645553, 'HRDH_1867': -0.20755248698708678, 'HRDH_697': -0.19516702453309887}",-0.007340030221243373,0.2611396441255471,0.2744319121561985,False,,-0.20755248698708678,0.38069942085645553,-0.19516702453309887
Log_WTBH,Lab_XRD_Quartz,3,"['HRDH_1119', 'HRDH_1804', 'HRDH_1867']","{'HRDH_1119': 0.17934698412398414, 'HRDH_1804': 0.32526583311756535, 'HRDH_1867': -0.12178834671916479}",0.1276081568407949,0.20880038798690478,0.18613980339850766,False,0.17934698412398414,-0.12178834671916479,0.32526583311756535,
Log_CN,Lab_XRD_Dickite,2,"['HRDH_1804', 'HRDH_1867']","{'HRDH_1804': 0.5595755310776417, 'HRDH_1867': 0.8928147820183857}",0.7261951565480137,0.7261951565480137,0.166619625470372,True,,0.8928147820183857,0.5595755310776417,
Log_CNC,Lab_XRD_Dickite,2,"['HRDH_1804', 'HRDH_1867']","{'HRDH_1804': 0.5555597458166589, 'HRDH_1867': 0.8821968555854093}",0.7188783007010341,0.7188783007010341,0.1633185548843752,True,,0.8821968555854093,0.5555597458166589,
