Lab_Depth,Log_Depth,Distance
14859,14859.0,0.0
14860,14860.0,0.0
14872,14872.0,0.0
14895,14895.0,0.0
14913,14913.0,0.0
14986,14986.0,0.0
14997,14997.0,0.0
15008,15008.0,0.0
15025,15025.0,0.0
