Lab_Depth,Lab_Sample_ID,Lab_XRD_Calcite,Lab_XRD_Dolomite,Lab_XRD_Ankerite,Lab_XRD_Siderite,Lab_XRD_Quartz,Lab_XRD_Plagioclase,Lab_XRD_K-Feldspar,Lab_XRD_Illite/Mica,Lab_XRD_Smectite,Lab_XRD_Kaolinite,Lab_XRD_Dickite,Lab_XRD_Chlorite,Lab_XRD_Mixed Clay,Lab_XRD_Anhydrite,Lab_XRD_Gypsum,Lab_XRD_Pyrite,Lab_XRD_Anatase,Lab_XRD_Iron,Lab_XRD_Hematite,Log_Depth,Log_BIT,Log_CAL,Log_CALX,Log_CN,Log_CNC,Log_FRAMENO,Log_GR,Log_GRSLC,Log_HRD1,Log_HRD2,Log_KC,Log_KTHC,Log_LSN,Log_PE,Log_RTHKC,Log_RTHUC,Log_RUKC,Log_SFT2,Log_SHR,Log_SPD,Log_SSD,Log_SSN,Log_TEN,Log_THC,Log_TTEN,Log_UC,Log_WRM,Log_WTBH,Log_ZCOR,Log_ZDEN,Log_ZDNC,Distance,Match_Type
14914.75,17,0,0,0,0,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,14914.75,5.875,6.2716026,6.311001,-0.09310508,0.53371334,1740,89.77536,27.693,1067.7083,1370.9692,0.949,27.134,11143.375,3.1033547,8.063,49.905,0.162,844.8197,0.5081668,5.068084,25245.611,10621.742,14.277164,7.651,6195.1787,0.153,0.02206545,289.349,0.20359492,2.5533824,2.5463104,0.0,Exact
14928.79,18,0,0,0,0,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,14928.75,5.875,5.9671335,5.9675965,-1.3072822,-0.5487779,1796,80.8914,25.822,679.5902,819.0446,0.886,25.018,14577.301,2.1531696,6.104,26.328,0.232,568.32495,0.6312281,4.9892545,20172.436,12465.926,52.003986,5.407,6198.6865,0.205,0.03552581,289.8022,0.0294614,2.5909986,2.5840113,0.040000000000873115,Near
14928.5,19,0,0,0,0,99.9,0,0,0.0,0,0,0.0,0,0,0,0,0,0.1,0.0,0,14928.5,5.875,5.9675965,5.974345,-1.2992709,-0.54466474,1795,80.999435,25.959,682.22723,822.182,0.886,25.177,14526.291,2.1415136,6.122,27.311,0.224,572.9115,0.6359974,4.9906216,20235.873,12419.39,46.83522,5.425,6194.6006,0.199,0.03594324,289.84695,0.028941195,2.5888062,2.5818307,0.0,Exact
14933.17,20,0,0,0,0,99.6,0,0,0.1,0,0,0.0,0,0,0,0,0,0.3,0.0,0,14933.25,5.875,5.984994,5.9793234,-1.3784205,-0.63711375,1814,77.596085,22.448,684.802,825.12244,0.826,22.053,14093.59,2.0076425,5.575,44.247,0.126,582.81836,0.6452848,5.10822,20424.463,12133.387,19.766977,4.604,6160.152,0.104,0.02899623,289.4686,0.03241963,2.5906932,2.5837076,0.07999999999992724,Near
14933.5,21,0,0,0,0,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,14933.5,5.875,5.993845,5.984994,-1.3543919,-0.6170441,1815,78.97501,23.846,684.65015,825.38635,0.807,23.346,13935.402,1.982988,5.937,38.719,0.153,583.1066,0.643891,5.1102724,20463.34,12032.434,15.260913,4.79,6155.281,0.124,0.028685521,289.47552,0.031769972,2.5900114,2.5830293,0.0,Exact
14933.83,22,0,0,0,0,99.9,0,0,0.0,0,0,0.0,0,0,0,0,0,0.1,0.0,0,14933.75,5.875,6.002578,5.993845,-1.3120526,-0.57716155,1816,80.15046,25.054,683.90375,824.66174,0.785,24.406,13774.691,1.9497039,6.338,32.764,0.193,583.98224,0.64514107,5.0963306,20459.518,11952.624,4.0325747,4.972,6143.4824,0.152,0.028033849,289.5499,0.031634074,2.5902994,2.5833158,0.07999999999992724,Near
14934.17,23,0,0,0,0,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,14934.25,5.875,6.008295,6.007802,-1.1860415,-0.4452124,1818,81.88246,24.605,678.8932,819.23157,0.769,23.798,13471.727,1.8880111,6.956,27.386,0.254,584.4075,0.65311867,5.0738907,20464.053,11839.718,-11.609795,5.346,6127.4,0.195,0.024145383,289.86993,0.03284539,2.594531,2.5875173,0.07999999999992724,Near
14934.5,24,0,0,0,0,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,14934.5,5.875,6.004634,6.008295,-1.1189941,-0.37058815,1819,82.61311,25.37,675.2403,815.4763,0.776,24.553,13355.034,1.871597,7.072,28.216,0.251,583.2928,0.65792346,5.079085,20476.59,11798.258,-13.732999,5.486,6125.255,0.194,0.021126205,290.05566,0.033740442,2.5975819,2.5905514,0.0,Exact
14948.5,25,0,0,0,0,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,14948.5,5.875,5.96223,5.9671774,-0.30617917,0.53128564,1875,97.71901,43.276,762.4071,919.0262,0.826,37.085,11524.506,2.2215028,9.445,6.82,1.385,638.47394,0.62432057,5.119126,21623.494,11273.08,9.147374,7.798,6116.581,1.143,0.017792173,291.0408,0.058440205,2.569925,2.5630524,0.0,Exact
14948.83,26,0,0,0,0,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,14948.75,5.875,5.9630623,5.96223,-0.19599113,0.6536987,1876,102.46332,48.156,762.94714,922.6519,0.867,41.041,11132.331,2.236424,9.697,6.677,1.452,638.9177,0.6208965,5.110523,22022.54,11084.565,5.9754972,8.404,6113.457,1.259,0.016559048,290.8787,0.060136497,2.5705452,2.5636692,0.07999999999992724,Near
